qoi,param,block,source,mu_star,sigma,n
attPAT,theta_death,kinetics,"Campos2006 T2 θ_kga=1.066, θ_kr*=1.08",1.586667459051062e-7,3.582281624172795e-7,24
attPAT,K_O2_HET,kinetics,O2 half-sat; nom 3e-3 (Reichert),3.1634422632429617e-10,8.544795161786596e-10,24
attPAT,K_DOM_HET,kinetics,Campos2006 T3 ksCd 0.80–0.98 mgC/L; nom 2e-4,1.5904942226057677e-7,4.251589852274752e-7,24
attPAT,K_HPO4_HET,kinetics,"Campos2006 T3 ksp 0.001–0.05 mgP/L=1e-6–5e-5; nom 1.4e-8 (P-limiting, influent HPO4=0)",0.0,0.0,24
attPAT,marker_growth,pathogen,Manriquez B.4 μ̂_PAT=0.2 ±3×,8.193785572739502e-7,2.4856717072781637e-6,24
attPAT,inactivation,pathogen,"Schijven2013 T2/T3 µl,µs 0–1.84/d; Manriquez B.4 0.02",1.027516965605623e-5,2.8034004858013544e-5,24
attPAT,bacterivory,pathogen,Manriquez B.4 p̂_PAT=8.0 ±2.5×,0.0013705036143624478,0.0036666559047186555,24
attPAT,beta_porosity,biofilm,Diehl2025/Lund biofilm porosity (0.99),4.7656799273891334e-5,0.00019797816881490085,24
attPAT,zeta_0,biofilm,Cahn-Hilliard cohesion; nom 1e2,2.1536258258041693e-8,9.743333820506983e-8,24
attPAT,detach_scale,biofilm,detachment-law scale (relative to nominal),8.284131564446135e-10,2.6987816842501864e-9,24
